Date,Close,High,Low,Open,Volume
2021-01-04,261.0030212402344,263.45819295964753,253.16538760036812,261.09745646359335,694603
2021-01-05,250.89910888671875,260.2476204881275,248.91608428821706,260.2476204881275,907149
2021-01-07,234.18505859375,252.22109104734994,234.18505859375,252.12665582472277,1523326
2021-01-08,226.53628540039062,239.2842634358752,221.15380866716686,236.26252337588934,1521292
2021-01-11,232.29647827148438,242.6837191698028,226.63071050876525,226.63071050876525,795943
2021-01-12,234.65721130371094,238.81210183691968,229.46359093280387,232.29647477148046,656346
2021-01-13,235.97921752929688,239.37868389247015,233.33520414548684,234.65721083739186,654826
2021-01-14,250.2380828857422,261.66405394328757,237.3012490296341,239.2842591543963,1285147
2021-01-15,241.9282989501953,252.31554001832478,237.11239050963636,250.23808027766466,760614
2021-01-18,239.37867736816406,243.8168734460077,235.41264299175165,242.6837084166397,480233
2021-01-19,234.37391662597656,242.68371198020904,229.27473155411155,241.07841404342133,752443
2021-01-20,238.62322998046875,241.45611363138556,225.6863975230402,233.24075392548505,741544
2021-01-21,239.09539794921875,245.98875164482456,237.5845351832401,240.79513116863822,901494
2021-01-22,236.1680908203125,242.68371795120532,235.97922036880288,237.96224483931417,519925
2021-01-25,260.3420104980469,261.1918698019005,236.35692106255195,237.9622188636038,1607105
2021-01-26,283.2884216308594,283.2884216308594,257.8868989214767,257.8868989214767,2679833
2021-01-27,298.2082214355469,325.7816351237817,290.84273512499936,290.84273512499936,5869312
2021-01-28,344.66754150390625,355.52692979786497,282.4385308698687,293.86450170789885,6857539
2021-01-29,288.19873046875,338.0574750364821,281.116520796198,334.28029654445436,2947173
2021-02-01,288.7652893066406,298.3971061590622,275.07301703035455,288.48201244175164,1008657
2021-02-02,267.5186462402344,288.85970977127766,266.66878687141605,288.48199769820104,1379193
2021-02-03,271.95684814453125,279.1334929563066,267.6130871675947,268.1796696980794,690037
2021-02-04,274.7897644042969,282.1552517169645,272.0513154710019,272.0513154710019,403339
2021-02-05,277.0560302734375,281.30535597952576,272.14571563695273,276.86718864371744,434366
2021-02-08,270.3515625,281.21095160691897,270.3515625,280.45552736999434,484611
2021-02-09,254.95957946777344,272.1457552404143,253.44870212222452,271.0125900268555,1125810
2021-02-10,254.48736572265625,260.1531326775206,249.67145804750538,253.92078326365365,655249
2021-02-11,255.43170166015625,256.2815610777635,253.0709650459219,253.54311236876876,350845
2021-02-12,248.3494873046875,254.6762728429056,245.79988028060916,254.10969030226764,366961
2021-02-15,254.95957946777344,255.52616207455287,243.91131949713454,245.51663208007812,270924
2021-02-16,255.05398559570312,257.98130471530965,251.84338961383165,255.90384500008304,326736
2021-02-17,256.1871337890625,257.3202989260467,253.16540811974892,256.9425868195808,294253
2021-02-18,259.6809997558594,267.70750338467684,254.20410292440516,256.18709841392933,498948
2021-02-19,250.6157989501953,263.3637769593706,249.95480997360468,259.68103352023724,429130
2021-02-22,243.7224578857422,253.25983972998188,243.6280226560792,251.5600920488064,467362
2021-02-23,243.34475708007812,246.55535331454413,236.16811155636225,244.5723286699192,556188
2021-02-24,243.81687927246094,247.68846411055546,241.73941960816944,243.81687927246094,341058
2021-02-25,237.5845184326172,241.73940875711344,235.2237820189735,240.79511419165595,767659
2021-02-26,223.4201202392578,235.97922757328584,221.1538044310836,235.69595070495785,1478281
2021-03-01,226.91400146484375,227.57500482115498,212.65514685153653,224.17553840470785,1089101
2021-03-02,227.85829162597656,232.2020381743332,222.85352732546818,227.4805651377767,674141
2021-03-03,215.5824737548828,231.63548297451973,214.35488781515198,228.3304516645945,836642
2021-03-04,221.9092254638672,224.26996190497215,213.41057427588927,215.58245468346422,531892
2021-03-05,219.07635498046875,224.553266736739,216.05461503491046,220.4927969307735,458449
2021-03-08,219.07635498046875,224.26997546491953,219.07635498046875,221.81480365420757,407552
2021-03-09,210.5776824951172,220.68163119496322,210.5776824951172,218.6041860879804,1020824
2021-03-10,198.49072265625,214.0715836047616,198.49072265625,210.57769645564167,1263988
2021-03-11,208.68911743164062,211.14428928258883,195.0912802493857,198.77402361701516,1199773
2021-03-12,213.88272094726562,222.00366004476237,208.02809747196858,210.5776899392505,846781
2021-03-15,217.0933074951172,221.53150332974286,212.93841731109998,218.13203724551704,523875
2021-03-16,216.7156219482422,222.9479723952382,213.88273800120632,220.020653219784,418635
2021-03-17,218.13206481933594,219.0763594722335,210.6721428249624,217.18777016643838,535624
2021-03-18,208.40582275390625,218.79306372351348,208.40582275390625,218.13206036175154,634370
2021-03-19,210.76654052734375,214.35486269653296,205.76177653416863,208.40580415403392,961059
2021-03-22,204.9119415283203,208.68912017400365,204.72308547779477,208.68912017400365,536426
